plotID,earliest_disturbance,latest_disturbance,mean_before_O,mean_after_O,mean_before_M,mean_after_M,years_offset_before,O_after_1,O_after_2,O_after_3,O_after_4,O_after_5,O_after_6,O_after_7,O_after_8,O_after_9,O_after_10,O_after_11,O_after_12,O_after_13,O_after_14,O_after_15,O_after_16,O_after_17,O_after_18,O_after_19,O_after_20,M_after_1,M_after_2,M_after_3,M_after_4,M_after_5,M_after_6,M_after_7,M_after_8,M_after_9,M_after_10,M_after_11,M_after_12,M_after_13,M_after_14,M_after_15,M_after_16,M_after_17,M_after_18,M_after_19,M_after_20
DELA_014,2018-02-08,2019-05-11,,,2.0700000000000003,2.48,10,,,,,,,,,,,,,,,,,,,,,2.48,,,,,,,,,,,,,,,,,,,
DELA_002,2018-02-08,2019-05-11,,,1.2433333333333334,1.3833333333333335,10,,,,,,,,,,,,,,,,,,,,,1.3833333333333335,,,,,,,,,,,,,,,,,,,
DELA_003,2018-02-08,2019-05-11,,,1.7766666666666666,1.9633333333333332,10,,,,,,,,,,,,,,,,,,,,,1.9633333333333332,,,,,,,,,,,,,,,,,,,
DELA_001,2018-02-08,2019-05-11,,,0.735,0.4475,10,,,,,,,,,,,,,,,,,,,,,0.4475,,,,,,,,,,,,,,,,,,,
DELA_038,2018-02-08,2019-05-11,,,1.3366666666666667,2.0975,10,,,,,,,,,,,,,,,,,,,,,2.0975,,,,,,,,,,,,,,,,,,,
DELA_041,2018-02-08,2019-05-11,,,1.8875,2.0733333333333337,10,,,,,,,,,,,,,,,,,,,,,2.0733333333333337,,,,,,,,,,,,,,,,,,,
DELA_040,2018-02-08,2019-05-11,,,1.4633333333333332,1.9033333333333333,10,,,,,,,,,,,,,,,,,,,,,1.9033333333333333,,,,,,,,,,,,,,,,,,,
DELA_037,2018-02-08,2019-05-11,,,1.5166666666666666,1.75,10,,,,,,,,,,,,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,
DELA_005,2018-02-08,2019-05-11,,,0.98,0.9566666666666667,10,,,,,,,,,,,,,,,,,,,,,0.9566666666666667,,,,,,,,,,,,,,,,,,,
DELA_004,2018-02-08,2019-05-11,,,1.3866666666666667,1.6633333333333333,10,,,,,,,,,,,,,,,,,,,,,1.6633333333333333,,,,,,,,,,,,,,,,,,,
DSNY_041,2017-09-09,2023-08-29,,,1.7566666666666666,1.1066666666666667,10,,,,,,,,,,,,,,,,,,,,,1.1066666666666667,,,,,,,,,,,,,,,,,,,
DSNY_005,2017-09-09,2023-08-29,,,1.1466666666666667,1.9766666666666666,10,,,,,,,,,,,,,,,,,,,,,1.9766666666666666,,,,,,,,,,,,,,,,,,,
DSNY_003,2017-09-09,2023-08-29,,,2.7600000000000002,1.18,10,,,,,,,,,,,,,,,,,,,,,1.18,,,,,,,,,,,,,,,,,,,
DSNY_001,2017-09-09,2023-08-29,,,0.8166666666666668,0.665,10,,,,,,,,,,,,,,,,,,,,,0.665,,,,,,,,,,,,,,,,,,,
DSNY_009,2017-09-09,2023-08-29,,,2.766666666666667,1.8233333333333333,10,,,,,,,,,,,,,,,,,,,,,1.8233333333333333,,,,,,,,,,,,,,,,,,,
