plotID,earliest_disturbance,latest_disturbance,mean_before_O,mean_after_O,mean_before_M,mean_after_M,years_offset_before,O_after_1,O_after_2,O_after_3,O_after_4,O_after_5,O_after_6,O_after_7,O_after_8,O_after_9,O_after_10,O_after_11,O_after_12,O_after_13,O_after_14,O_after_15,O_after_16,O_after_17,O_after_18,O_after_19,O_after_20,M_after_1,M_after_2,M_after_3,M_after_4,M_after_5,M_after_6,M_after_7,M_after_8,M_after_9,M_after_10,M_after_11,M_after_12,M_after_13,M_after_14,M_after_15,M_after_16,M_after_17,M_after_18,M_after_19,M_after_20
BART_004,10/29/19,10/29/19,44.156666666666666,51.07333333333333,3.6675,38.4975,10,,,51.07333333333333,,,,,,,,,,,,,,,,,,,,38.4975,,,,,,,,,,,,,,,,,
BART_023,10/29/19,10/29/19,48.083333333333336,52.21333333333333,18.106666666666666,13.293333333333335,10,,,52.21333333333333,,,,,,,,,,,,,,,,,,,,13.293333333333335,,,,,,,,,,,,,,,,,
BART_005,10/29/19,10/29/19,54.43,53.096666666666664,8.89,23.763333333333332,10,,,53.096666666666664,,,,,,,,,,,,,,,,,,,,23.763333333333332,,,,,,,,,,,,,,,,,
BART_001,10/29/19,10/29/19,46.875,49.81666666666666,9.49,34.675,10,,,49.81666666666666,,,,,,,,,,,,,,,,,,,,34.675,,,,,,,,,,,,,,,,,
BART_002,10/29/19,10/29/19,,45.18,6.076666666666667,7.593333333333334,10,,,45.18,,,,,,,,,,,,,,,,,,,,7.593333333333334,,,,,,,,,,,,,,,,,
BART_003,10/29/19,10/29/19,44.20666666666667,50.5325,2.3233333333333333,7.133333333333334,10,,,50.5325,,,,,,,,,,,,,,,,,,,,7.133333333333334,,,,,,,,,,,,,,,,,
BART_040,10/29/19,10/29/19,41.9975,49.04333333333333,4.3566666666666665,24.900000000000002,10,,,49.04333333333333,,,,,,,,,,,,,,,,,,,,24.900000000000002,,,,,,,,,,,,,,,,,
BART_071,10/29/19,10/29/19,42.169999999999995,46.8425,5.3999999999999995,5.3933333333333335,10,,,46.8425,,,,,,,,,,,,,,,,,,,,5.3933333333333335,,,,,,,,,,,,,,,,,
BART_042,10/29/19,10/29/19,45.61,42.22666666666667,5.696666666666666,10.273333333333333,10,,,42.22666666666667,,,,,,,,,,,,,,,,,,,,10.273333333333333,,,,,,,,,,,,,,,,,
BART_036,10/29/19,10/29/19,39.71,47.053333333333335,5.546666666666667,4.17,10,,,47.053333333333335,,,,,,,,,,,,,,,,,,,,4.17,,,,,,,,,,,,,,,,,
BLAN_033,5/16/18,5/16/18,,,0.7333333333333334,0.6733333333333333,10,,,,,,,,,,,,,,,,,,,,,,,0.6733333333333333,,,,,,,,,,,,,,,,,
BLAN_031,5/16/18,5/16/18,,,1.07,1.0566666666666666,10,,,,,,,,,,,,,,,,,,,,,,,1.0566666666666666,,,,,,,,,,,,,,,,,
BLAN_032,5/16/18,5/16/18,,,1.175,1.1466666666666667,10,,,,,,,,,,,,,,,,,,,,,,,1.1466666666666667,,,,,,,,,,,,,,,,,
BLAN_005,5/16/18,5/16/18,,,1.3966666666666665,1.5266666666666666,10,,,,,,,,,,,,,,,,,,,,,,,1.5266666666666666,,,,,,,,,,,,,,,,,
BLAN_007,5/16/18,5/16/18,,,2.1166666666666667,2.453333333333333,10,,,,,,,,,,,,,,,,,,,,,,,2.453333333333333,,,,,,,,,,,,,,,,,
BLAN_004,5/16/18,5/16/18,,,1.08,0.9625,10,,,,,,,,,,,,,,,,,,,,,,,0.9625,,,,,,,,,,,,,,,,,
BLAN_003,5/16/18,5/16/18,,,1.0733333333333333,0.8166666666666668,10,,,,,,,,,,,,,,,,,,,,,,,0.8166666666666668,,,,,,,,,,,,,,,,,
BLAN_001,5/16/18,5/16/18,,,1.7025000000000001,1.42,10,,,,,,,,,,,,,,,,,,,,,,,1.42,,,,,,,,,,,,,,,,,
DELA_014,2/8/18,5/11/19,,,2.0700000000000003,2.48,10,,,,,,,,,,,,,,,,,,,,,2.48,,,,,,,,,,,,,,,,,,,
DELA_002,2/8/18,5/11/19,,,1.2433333333333334,1.3833333333333335,10,,,,,,,,,,,,,,,,,,,,,1.3833333333333335,,,,,,,,,,,,,,,,,,,
DELA_003,2/8/18,5/11/19,,,1.7766666666666666,1.9633333333333332,10,,,,,,,,,,,,,,,,,,,,,1.9633333333333332,,,,,,,,,,,,,,,,,,,
DELA_001,2/8/18,5/11/19,,,0.735,0.4475,10,,,,,,,,,,,,,,,,,,,,,0.4475,,,,,,,,,,,,,,,,,,,
DELA_038,2/8/18,5/11/19,,,1.3366666666666667,2.0975,10,,,,,,,,,,,,,,,,,,,,,2.0975,,,,,,,,,,,,,,,,,,,
DELA_041,2/8/18,5/11/19,,,1.8875,2.0733333333333337,10,,,,,,,,,,,,,,,,,,,,,2.0733333333333337,,,,,,,,,,,,,,,,,,,
DELA_040,2/8/18,5/11/19,,,1.4633333333333332,1.9033333333333333,10,,,,,,,,,,,,,,,,,,,,,1.9033333333333333,,,,,,,,,,,,,,,,,,,
DELA_037,2/8/18,5/11/19,,,1.5166666666666666,1.75,10,,,,,,,,,,,,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,
DELA_005,2/8/18,5/11/19,,,0.98,0.9566666666666667,10,,,,,,,,,,,,,,,,,,,,,0.9566666666666667,,,,,,,,,,,,,,,,,,,
DELA_004,2/8/18,5/11/19,,,1.3866666666666667,1.6633333333333333,10,,,,,,,,,,,,,,,,,,,,,1.6633333333333333,,,,,,,,,,,,,,,,,,,
DSNY_041,9/9/17,8/29/23,,,1.7566666666666666,1.1066666666666667,10,,,,,,,,,,,,,,,,,,,,,1.1066666666666667,,,,,,,,,,,,,,,,,,,
DSNY_005,9/9/17,8/29/23,,,1.1466666666666667,1.9766666666666666,10,,,,,,,,,,,,,,,,,,,,,1.9766666666666666,,,,,,,,,,,,,,,,,,,
DSNY_003,9/9/17,8/29/23,,,2.7600000000000002,1.18,10,,,,,,,,,,,,,,,,,,,,,1.18,,,,,,,,,,,,,,,,,,,
DSNY_001,9/9/17,8/29/23,,,0.8166666666666668,0.665,10,,,,,,,,,,,,,,,,,,,,,0.665,,,,,,,,,,,,,,,,,,,
DSNY_009,9/9/17,8/29/23,,,2.766666666666667,1.8233333333333333,10,,,,,,,,,,,,,,,,,,,,,1.8233333333333333,,,,,,,,,,,,,,,,,,,
