,Unnamed: 0,uid,domainID,siteID,namedLocation,locationID,startDate,endDate,ongoingEvent,estimatedOrActualDate,dateRemarks,eventID,samplingProtocolVersion,eventType,methodTypeChoice,name,scientificName,otherScientificName,fireSeverity,biomassRemoval,minQuantity,maxQuantity,quantityUnit,reporterType,remarks,recordedBy,dataQF,publicationDate,release
45,45,046f2657-2113-469f-8f8b-eb12bacd0f34,D03,BARC,BARC,BARC.AOS.groundwater.well.007,4/2/18,4/2/18,N,actual,,BARC.20180402.fire,NEON.DOC.003282vA,fire,other,,,,unknown,,,,,primary,,kross@BattelleEcology.org,,20241118T080246Z,RELEASE-2025
46,46,852807bf-164c-409f-a156-4d21c5d665d4,D03,BARC,BARC,"METSTN110717, CFGLOC110723, CFGLOC110720, CFGLOC110718, CFGLOC110722, CFGLOC110721, CFGLOC110719",7/23/20,7/27/20,N,estimated,The earliest end date is 2020-07-24.,BARC.20200723.fire,NEON.DOC.003282vC,fire,fire-controlledBurn,,,,unknown,,,,,secondary,,0000-0002-9814-2044,,20241118T205433Z,RELEASE-2025
48,48,ca8f5f4f-32bb-4bae-bfdd-f312b54a5d7f,D03,BARC,BARC,"BARC.AOS.reach,BARC.AOS.groundwater.well.008,BARC.AOS.groundwater.well.007,BARC.AOS.groundwater.well.006,BARC.AOS.groundwater.well.005,BARC.AOS.groundwater.well.004,BARC.AOS.groundwater.well.003,BARC.AOS.groundwater.well.002,BARC.AOS.groundwater.well.001,BARC.AOS.riparian.point.10,BARC.AOS.riparian.point.09,BARC.AOS.riparian.point.08,BARC.AOS.riparian.point.07,BARC.AOS.riparian.point.06,BARC.AOS.riparian.point.05,BARC.AOS.riparian.point.04,BARC.AOS.riparian.point.03,BARC.AOS.riparian.point.02,BARC.AOS.riparian.point.01,BARC.AOS.littoral1,BARC.AOS.littoral2,BARC.AOS.gauge,CFGLOC101040,CFGLOC101043,CFGLOC101046,CFGLOC101039,CFGLOC101044,CFGLOC101042,CFGLOC101041,CFGLOC101045,SGAUGE110703,BARC.AOS.gauge,INLET101036,CFGLOC113600,OUTLET101037,CFGLOC113601,BUOY101035,CFGLOC110694,CFGLOC110695,CFGLOC110702,CFGLOC110698,CFGLOC110700,CFGLOC110692,CFGLOC110693,CFGLOC110696,CFGLOC110699,CFGLOC110701,METSTN110717,CFGLOC110723,CFGLOC110720,CFGLOC110718,CFGLOC110722,CFGLOC110721,CFGLOC110719",7/12/22,7/13/22,N,actual,The burn at unit B-7b (the NE side of the lake) occurred 7/12/2022 and B-6 (W side of the lake) occurred 7/13/2022.,BARC.20220712.fire,NEON.DOC.003282vD,fire,fire-controlledBurn,,,,low,,,,,primary,,0000-0002-0425-3262,,20241118T153136Z,RELEASE-2025
121,121,fa1be168-5adf-489f-a53b-306610cdede7,D17,BIGC,BIGC,"BIGC.AOS.reach, BIGC.AOS.groundwater.well.006, BIGC.AOS.groundwater.well.005, BIGC.AOS.groundwater.well.004, BIGC.AOS.groundwater.well.003, BIGC.AOS.groundwater.well.002, BIGC.AOS.groundwater.well.001, BIGC.AOS.riparian.transect.10, BIGC.AOS.riparian.transect.09, BIGC.AOS.riparian.transect.08, BIGC.AOS.riparian.transect.07, BIGC.AOS.riparian.transect.06, BIGC.AOS.riparian.transect.05, BIGC.AOS.riparian.transect.04, BIGC.AOS.riparian.transect.03, BIGC.AOS.riparian.transect.02, BIGC.AOS.riparian.transect.01, BIGC.AOS.gauge, BIGC.AOS.discharge, BIGC.AOS.S2, CFGLOC112945, CFGLOC112946, CFGLOC112947, CFGLOC112948, CFGLOC112943, CFGLOC112944, SGAUGE111039, CFGLOC111040, BIGC.AOS.gauge, S1LOC111030, CFGLOC113855, CFGLOC111032, CFGLOC113854, CFGLOC111033, CFGLOC111031, S2LOC111034, CFGLOC111036, CFGLOC113856, CFGLOC111037, CFGLOC113857, CFGLOC111035, CFGLOC111038, METSTN111041, CFGLOC111042, CFGLOC111043, CFGLOC111045, CFGLOC111044, CFGLOC111046, CFGLOC111047, CFGLOC111048, CFGLOC111048",9/4/20,10/4/20,Y,actual,,BIGC.20200904.fire,NEON.DOC.003282vD,fire,fire-wildfire,,,,high,,,,,secondary,This fire occurred within SOAP plot boundaries. This site record was created to document any effects to aquatic data. The fire was contained in December 2020.,0000-0001-9639-2050,,20241118T043247Z,RELEASE-2025
123,123,9ef839d9-bedb-46dd-ba04-64101d18679f,D17,BIGC,BIGC,"BIGC.AOS.reach, BIGC.AOS.groundwater.well.006, BIGC.AOS.groundwater.well.005, BIGC.AOS.groundwater.well.004, BIGC.AOS.groundwater.well.003, BIGC.AOS.groundwater.well.002, BIGC.AOS.groundwater.well.001, BIGC.AOS.riparian.transect.10, BIGC.AOS.riparian.transect.09, BIGC.AOS.riparian.transect.08, BIGC.AOS.riparian.transect.07, BIGC.AOS.riparian.transect.06, BIGC.AOS.riparian.transect.05, BIGC.AOS.riparian.transect.04, BIGC.AOS.riparian.transect.03, BIGC.AOS.riparian.transect.02, BIGC.AOS.riparian.transect.01, BIGC.AOS.gauge, BIGC.AOS.discharge, BIGC.AOS.S2, CFGLOC112945, CFGLOC112946, CFGLOC112947, CFGLOC112948, CFGLOC112943, CFGLOC112944, SGAUGE111039, CFGLOC111040, BIGC.AOS.gauge, S1LOC111030, CFGLOC113855, CFGLOC111032, CFGLOC113854, CFGLOC111033, CFGLOC111031, S2LOC111034, CFGLOC111036, CFGLOC113856, CFGLOC111037, CFGLOC113857, CFGLOC111035, CFGLOC111038, METSTN111041, CFGLOC111042, CFGLOC111043, CFGLOC111045, CFGLOC111044, CFGLOC111046, CFGLOC111047, CFGLOC111048, CFGLOC111048",10/4/20,11/3/20,Y,actual,,BIGC.20200904.fire,NEON.DOC.003282vD,fire,fire-wildfire,,,,high,,,,,secondary,This fire occurred within SOAP plot boundaries. This site record was created to document any effects to aquatic data. The fire was contained in December 2020.,0000-0001-9639-2050,,20241118T152200Z,RELEASE-2025
126,126,042dbe07-987f-43b6-9b66-d0815c26deaa,D17,BIGC,BIGC,"BIGC.AOS.reach, BIGC.AOS.groundwater.well.006, BIGC.AOS.groundwater.well.005, BIGC.AOS.groundwater.well.004, BIGC.AOS.groundwater.well.003, BIGC.AOS.groundwater.well.002, BIGC.AOS.groundwater.well.001, BIGC.AOS.riparian.transect.10, BIGC.AOS.riparian.transect.09, BIGC.AOS.riparian.transect.08, BIGC.AOS.riparian.transect.07, BIGC.AOS.riparian.transect.06, BIGC.AOS.riparian.transect.05, BIGC.AOS.riparian.transect.04, BIGC.AOS.riparian.transect.03, BIGC.AOS.riparian.transect.02, BIGC.AOS.riparian.transect.01, BIGC.AOS.gauge, BIGC.AOS.discharge, BIGC.AOS.S2, CFGLOC112945, CFGLOC112946, CFGLOC112947, CFGLOC112948, CFGLOC112943, CFGLOC112944, SGAUGE111039, CFGLOC111040, BIGC.AOS.gauge, S1LOC111030, CFGLOC113855, CFGLOC111032, CFGLOC113854, CFGLOC111033, CFGLOC111031, S2LOC111034, CFGLOC111036, CFGLOC113856, CFGLOC111037, CFGLOC113857, CFGLOC111035, CFGLOC111038, METSTN111041, CFGLOC111042, CFGLOC111043, CFGLOC111045, CFGLOC111044, CFGLOC111046, CFGLOC111047, CFGLOC111048, CFGLOC111048",11/3/20,12/3/20,Y,actual,,BIGC.20200904.fire,NEON.DOC.003282vD,fire,fire-wildfire,,,,high,,,,,secondary,This fire occurred within SOAP plot boundaries. This site record was created to document any effects to aquatic data. The fire was contained in December 2020.,0000-0001-9639-2050,,20241118T044043Z,RELEASE-2025
129,129,5b82fb6f-dd69-4034-b964-17a10b79fbb8,D17,BIGC,BIGC,"BIGC.AOS.reach, BIGC.AOS.groundwater.well.006, BIGC.AOS.groundwater.well.005, BIGC.AOS.groundwater.well.004, BIGC.AOS.groundwater.well.003, BIGC.AOS.groundwater.well.002, BIGC.AOS.groundwater.well.001, BIGC.AOS.riparian.transect.10, BIGC.AOS.riparian.transect.09, BIGC.AOS.riparian.transect.08, BIGC.AOS.riparian.transect.07, BIGC.AOS.riparian.transect.06, BIGC.AOS.riparian.transect.05, BIGC.AOS.riparian.transect.04, BIGC.AOS.riparian.transect.03, BIGC.AOS.riparian.transect.02, BIGC.AOS.riparian.transect.01, BIGC.AOS.gauge, BIGC.AOS.discharge, BIGC.AOS.S2, CFGLOC112945, CFGLOC112946, CFGLOC112947, CFGLOC112948, CFGLOC112943, CFGLOC112944, SGAUGE111039, CFGLOC111040, BIGC.AOS.gauge, S1LOC111030, CFGLOC113855, CFGLOC111032, CFGLOC113854, CFGLOC111033, CFGLOC111031, S2LOC111034, CFGLOC111036, CFGLOC113856, CFGLOC111037, CFGLOC113857, CFGLOC111035, CFGLOC111038, METSTN111041, CFGLOC111042, CFGLOC111043, CFGLOC111045, CFGLOC111044, CFGLOC111046, CFGLOC111047, CFGLOC111048, CFGLOC111048",12/3/20,12/24/20,N,actual,,BIGC.20200904.fire,NEON.DOC.003282vD,fire,fire-wildfire,,,,high,,,,,secondary,This fire occurred within SOAP plot boundaries. This site record was created to document any effects to aquatic data. The fire was contained in December 2020.,0000-0001-9639-2050,,20241118T044043Z,RELEASE-2025
138,138,24d4a733-8a55-4a55-aef5-1b50aa67750e,D17,BIGC,BIGC,"BIGC.AOS.reach, BIGC.AOS.groundwater.well.006, BIGC.AOS.groundwater.well.005, BIGC.AOS.groundwater.well.004, BIGC.AOS.groundwater.well.003, BIGC.AOS.groundwater.well.002, BIGC.AOS.groundwater.well.001, BIGC.AOS.riparian.transect.10, BIGC.AOS.riparian.transect.09, BIGC.AOS.riparian.transect.08, BIGC.AOS.riparian.transect.07, BIGC.AOS.riparian.transect.06, BIGC.AOS.riparian.transect.05, BIGC.AOS.riparian.transect.04, BIGC.AOS.riparian.transect.03, BIGC.AOS.riparian.transect.02, BIGC.AOS.riparian.transect.01, BIGC.AOS.gauge, BIGC.AOS.discharge, BIGC.AOS.S2, CFGLOC112945, CFGLOC112946, CFGLOC112947, CFGLOC112948, CFGLOC112943, CFGLOC112944, SGAUGE111039, CFGLOC111040, BIGC.AOS.gauge, S1LOC111030, CFGLOC113855, CFGLOC111032, CFGLOC113854, CFGLOC111033, CFGLOC111031, S2LOC111034, CFGLOC111036, CFGLOC113856, CFGLOC111037, CFGLOC113857, CFGLOC111035, CFGLOC111038, METSTN111041, CFGLOC111042, CFGLOC111043, CFGLOC111045, CFGLOC111044, CFGLOC111046, CFGLOC111047, CFGLOC111048, CFGLOC111048",6/29/21,7/8/21,N,actual,,BIGC.20210629.fire,NEON.DOC.003282vD,fire,fire-wildfire,,,,low,,,,,secondary,"This wildfire directly impacted SOAP plots, but may have had indirect impacts to BIGC.",0000-0001-9639-2050,,20241118T070851Z,RELEASE-2025
256,256,fc8f742e-63a4-4c38-8b15-362dad4104c2,D19,BONA,BONA,"BONA_005.basePlot.all, BONA_027.basePlot.all, BONA_005.birdGrid.brd, AIRSHED",6/7/21,6/28/21,N,actual,Fire first reported on listed date.,BONA.20210607.fire,NEON.DOC.003282vD,fire,fire-wildfire,,,,unknown,,,,,primary,"This week we saw the Haystack fire exploded which reportedly started as Fire 163 that we first reported on June 7th. It seemed to smolder underground for several days, and on June 14th conditions were suitable for it to ignite above-ground foliage. Over the past several days the fire has continued to spread, moving east through mostly spruce and tracking around a deciduous stand which is characteristic of boreal systems. Flame retardant (unknown quantity) was dropped on site and bulldozers constructed fire break lines - both of which could have impacted plots. No plots were directly burned.",0000-0003-0893-0707,,20241118T020334Z,RELEASE-2025
257,257,550d74c5-d424-44a1-9dbe-d65324c35296,D19,BONA,BONA,AIRSHED,6/15/22,7/11/22,N,estimated,Wildfires burning across state of Alaska starting at beginning of June. Significant and consistent smoke accumulation in interior Alaska after June 15.,BONA.20220615.fire,NEON.DOC.003282vD,fire,fire-wildfire,,,,low,,,,,primary,Smoke from multiple fires across interior Alaska is accumulating and impacting all D19 tower airsheds and gas analysis. No specific fire near site boundary.,0000-0001-5131-1181,,20241118T004918Z,RELEASE-2025
