,Unnamed: 0,uid,domainID,siteID,namedLocation,locationID,startDate,endDate,ongoingEvent,estimatedOrActualDate,dateRemarks,eventID,samplingProtocolVersion,eventType,methodTypeChoice,name,scientificName,otherScientificName,fireSeverity,biomassRemoval,minQuantity,maxQuantity,quantityUnit,reporterType,remarks,recordedBy,dataQF,publicationDate,release
16,16,0e13e8cc-dddd-4e41-8d3b-b8ad8462f246,D16,ABBY,ABBY,ABBY_001.tickPlot.tck,7/17/17,7/19/17,N,,,ABBY.20170717.humanDisturbance,NEON.DOC.003282vA,humanDisturbance,humanDisturbance-soilDisruption,,,,,,1.0,2.0,m,primary,Disturbed soil and vegetation along tick drag path. Soil sampling pit dug in incorrect plot by contractors. Vegetation also trampled/matted down in vicinity. Contractors mistakenly dug a soil pit at the ABBY_001 tick plot rather than the ABBY_001 base plot. This happened no earlier than 2017-07-17 and no later than 2017-07-19. NEON field technicians discovered the disturbance while sampling for ticks ABBY_001 for ticks on 2017-07-19. The soil pit location was along or adjacent to the tick drag path.,bvierra@battelleecology.org,,20241118T013759Z,RELEASE-2025
19,19,a6f5b01b-9f22-4ecc-b8e4-b69165f301c0,D16,ABBY,ABBY,ABBY_019.basePlot.all,1/1/18,1/31/18,Y,estimated,The latest start date is 2018-03-01.,ABBY.20180101.humanDisturbance,NEON.DOC.003282vA,humanDisturbance,humanDisturbance-construction-road-dirt,,,,,,20.0,,square m,primary,trail approximately 0. 5 m wide 40 m long. Public-use trail installed running north-south less than a meter from pt. 41.,Jzemaitis@battelleecology.org,,20241118T131814Z,RELEASE-2025
20,20,71359b41-192a-461c-9702-49e57590779f,D16,ABBY,ABBY,ABBY_019.basePlot.all,1/31/18,3/2/18,Y,actual,,ABBY.20180101.humanDisturbance,NEON.DOC.003282vA,humanDisturbance,humanDisturbance-construction-road-dirt,,,,,,20.0,,square m,primary,trail approximately 0. 5 m wide 40 m long. Public-use trail installed running north-south less than a meter from pt. 41.,Jzemaitis@battelleecology.org,,20241118T202137Z,RELEASE-2025
21,21,d485570e-1ed1-4b3d-ad35-786bc5e90e23,D16,ABBY,ABBY,ABBY_019.basePlot.all,3/2/18,4/1/18,Y,actual,,ABBY.20180101.humanDisturbance,NEON.DOC.003282vA,humanDisturbance,humanDisturbance-construction-road-dirt,,,,,,20.0,,square m,primary,trail approximately 0. 5 m wide 40 m long. Public-use trail installed running north-south less than a meter from pt. 41.,Jzemaitis@battelleecology.org,,20241118T032427Z,RELEASE-2025
22,22,8970d7c8-59a4-4f53-b2db-9f5936b87c12,D16,ABBY,ABBY,ABBY_019.basePlot.all,4/1/18,4/15/18,N,estimated,The earliest end date is 2018-04-01.,ABBY.20180101.humanDisturbance,NEON.DOC.003282vA,humanDisturbance,humanDisturbance-construction-road-dirt,,,,,,20.0,,square m,primary,trail approximately 0. 5 m wide 40 m long. Public-use trail installed running north-south less than a meter from pt. 41.,Jzemaitis@battelleecology.org,,20241118T032427Z,RELEASE-2025
27,27,bcedd445-c85a-4223-8ba2-4f505e5e48c2,D16,ABBY,ABBY,"ABBY_002.basePlot.all, ABBY_002.tickPlot.tck, ABBY_002.mammalGrid.mam",6/10/18,7/6/18,N,estimated,The latest start date is 2018-06-15. The earliest end date is 2018-06-30.,ABBY.20180610.humanDisturbance,NEON.DOC.003282vA,humanDisturbance,humanDisturbance-other,,,,,,,,,primary,"New mountain biking trail created through plots. Minimal impact to sampling. Did not cross into inner 20x20 of base plots. Snakes through three lines of mammal grid, but does not interfere with trap locations.",bcarroll@neoninc.org,,20241118T122415Z,RELEASE-2025
31,31,86219626-7749-45c7-8558-ae53da1766c7,D16,ABBY,ABBY,"ABBY_002.basePlot.all, ABBY_002.tickPlot.tck, ABBY_002.mammalGrid.mam",7/5/22,7/6/22,N,estimated,"The plot area was visited by technicians to collect beetles on 07/05/2022 and them revisited the next day, 07/06/2022, by technicians to collect soils.",ABBY.20220705.humanDisturbance,NEON.DOC.003282vD,humanDisturbance,humanDisturbance-trail,,,,,,0.3,0.6,m,primary,"A bike trail that runs through all three plots was recently trimmed back on the sides, a few feet (.3-.6 m). The mowing was only observed at the mammal and tick plots, but as it runs through all of them, there is an assumption that distributed plot ABBY_002 was affected as well.",0000-0001-6193-1800,,20241118T220513Z,RELEASE-2025
32,32,a7fec074-f5af-4dc6-920a-6918966a276c,D16,ABBY,ABBY,AIRSHED,8/10/23,8/10/23,N,actual,,ABBY.20230810.humanDisturbance,NEON.DOC.003282vD,humanDisturbance,humanDisturbance-other,,,,,,,,,primary,Removed lower level branches on three PSMEM trees near the tower to restore communications to ABBY site. About 1/6 to 1/9 of the branches in the understory were removed.,0000-0002-0205-7735,,20241118T175258Z,RELEASE-2025
37,37,c2a9caac-32c8-4982-a196-c3190a451d64,D10,ARIK,ARIK,ARIK.AOS.reach,5/25/19,5/29/19,N,,,ARIK.20190525.humanDisturbance,NEON.DOC.003282vB,humanDisturbance,humanDisturbance-other,,,,,,,,,secondary,A fish sampling event was conducted by an external researcher. Each site (12 total) of 100 m was sampled by two passes of a single backpack electroshocker and a third pass by a combination of seine and shocker. Dip nets used for mosquitofish in the backwater habitat. Only one of the sample locations was located within our permitted reach and was approx. 300 meters downstream of S2 sensor set.,hschartel@battelleecology.org,,20241118T161632Z,RELEASE-2025
49,49,c705a316-5868-48cd-89f9-dfc06fcb1f40,D18,BARR,BARR,BARR_084.mammalGrid.mam,8/1/17,8/31/17,Y,estimated,The latest start date is 2018-06-24.,BARR.20170801.humanDisturbance,NEON.DOC.003282vA,humanDisturbance,humanDisturbance-other,,,,,,195.0,243.0,square m,primary,Some vegetation damaged and lemming presence may have increased as a result of the shelter. Geo-block was incorrectly installed on BARR_084_M. It was meant to be installed on the co-located beetle plot BARR_084_R. Geo-block was likely installed in the fall of 2017 and remained on plot through the winter of 2017-2018 and was present for the first two mammal bouts at BARR during the 2018 summer season. The geo-block has since been removed. There will likely be no lasting damage to the plot.,mplichta@battelleecology.org,,20241118T140045Z,RELEASE-2025
