,uid,domainID,siteID,namedLocation,locationID,startDate,endDate,ongoingEvent,estimatedOrActualDate,dateRemarks,eventID,samplingProtocolVersion,eventType,methodTypeChoice,name,scientificName,otherScientificName,fireSeverity,biomassRemoval,minQuantity,maxQuantity,quantityUnit,reporterType,remarks,recordedBy,dataQF,publicationDate,release
1,bf214b86-de8f-4301-aa7c-c183ea35d769,D16,ABBY,ABBY,ABBY_030.basePlot.all,10/1/16,10/31/16,Y,,,ABBY.20161001.otherNaturalDisturbance,NEON.DOC.003282vA,otherNaturalDisturbance,other,,,,,,,,,primary,Tree blowdown covering portion of subplot 41. Originates from outside plot.,Jzemaitis@battelleecology.org,,20241118T090055Z,RELEASE-2025
3,afea72be-7b34-4fe3-91f8-37caf0ce23d9,D16,ABBY,ABBY,ABBY_030.basePlot.all,10/31/16,11/30/16,Y,actual,,ABBY.20161001.otherNaturalDisturbance,NEON.DOC.003282vA,otherNaturalDisturbance,other,,,,,,,,,primary,Tree blowdown covering portion of subplot 41. Originates from outside plot.,Jzemaitis@battelleecology.org,,20241118T045559Z,RELEASE-2025
5,97e6af6d-9b63-4c0f-b2ec-b5fc8e2e1f9e,D16,ABBY,ABBY,ABBY_030.basePlot.all,11/30/16,12/30/16,Y,actual,,ABBY.20161001.otherNaturalDisturbance,NEON.DOC.003282vA,otherNaturalDisturbance,other,,,,,,,,,primary,Tree blowdown covering portion of subplot 41. Originates from outside plot.,Jzemaitis@battelleecology.org,,20241118T172140Z,RELEASE-2025
6,50fe8f4e-a927-4e0d-9335-76779c99aabe,D16,ABBY,ABBY,ABBY_030.basePlot.all,12/30/16,1/2/17,N,,,ABBY.20161001.otherNaturalDisturbance,NEON.DOC.003282vA,otherNaturalDisturbance,other,,,,,,,,,primary,Tree blowdown covering portion of subplot 41. Originates from outside plot.,Jzemaitis@battelleecology.org,,20241118T084316Z,RELEASE-2025
34,9e22b694-dc38-4edc-9d61-e20f2a09eb7a,D10,ARIK,ARIK,ARIK.AOS.S2,2/1/17,2/1/17,N,actual,,ARIK.20170201.otherNaturalDisturbance,NEON.DOC.003282vA,otherNaturalDisturbance,other,,,Chelydra serpentina,,,,,,primary,Dead individual 1m above SWC sampling location.,Bnance@Battelleecology.org,,20241118T060218Z,RELEASE-2025
44,620e13e7-c867-4628-a484-ee60edd930ae,D10,ARIK,ARIK,"ARIK.AOS.reach,ARIK.AOS.riparian.transect.10,ARIK.AOS.riparian.transect.09,ARIK.AOS.riparian.transect.08,ARIK.AOS.riparian.transect.07,ARIK.AOS.riparian.transect.06,ARIK.AOS.riparian.transect.05,ARIK.AOS.riparian.transect.04,ARIK.AOS.riparian.transect.03,ARIK.AOS.riparian.transect.02,ARIK.AOS.riparian.transect.01,ARIK.AOS.gauge,ARIK.AOS.discharge,ARIK.AOS.S2,S1LOC100099,CFGLOC100111,CFGLOC101670,CFGLOC101669,S2LOC100103,CFGLOC101672,CFGLOC100112,CFGLOC101679,CFGLOC101671,SGAUGE101248,ARIK.AOS.gauge",6/23/23,6/26/23,N,actual,,ARIK.20230623.otherNaturalDisturbance,NEON.DOC.003282vD,otherNaturalDisturbance,naturalDisturbance-floodDamage,,,,,,,,,secondary,"Flooding reported by site host, photos attached are from phenocam",0000-0002-9463-8595,,20241118T192401Z,RELEASE-2025
68,f77ad25c-e37a-40b2-8d56-58a1a9fb0eb2,D01,BART,BART,SOILPL107937,10/29/19,11/14/19,N,estimated,The latest start date is 2019-11-14. The earliest end date is 2019-10-29.,BART.20191029.otherNaturalDisturbance,NEON.DOC.003282vB,otherNaturalDisturbance,other,,,,,,1,1,count,primary,"A tree (Fagus grandifolia, FAGR, American beech) fell on the BART SP2 throughfall collector. DBH ~20 cm. We had a big storm on Oct 31 that may have caused this tree to fall over.",0000-0003-3463-8507,,20241118T074845Z,RELEASE-2025
74,1857bce8-f851-4436-8d7a-82fb44ccad78,D01,BART,BART,SOILPL100495,6/1/23,7/1/23,Y,actual,periodic flooding this summer in BART plot 5,BART.20230601.otherNaturalDisturbance,NEON.DOC.003282vD,otherNaturalDisturbance,naturalDisturbance-floodDamage,,,,,,,,,primary,"Soil plot 5 has periodically flooded this summer due to heavy rains. Other soil plots typically have flowing water, but it recedes quickly. Plot 5 remains inundated for longer periods of time.",0000-0003-1934-4447,,20241118T173331Z,RELEASE-2025
75,fc6ba360-8ec5-4371-8a23-11782856a711,D01,BART,BART,SOILPL100495,7/1/23,7/31/23,Y,actual,,BART.20230601.otherNaturalDisturbance,NEON.DOC.003282vD,otherNaturalDisturbance,naturalDisturbance-floodDamage,,,,,,,,,primary,"Soil plot 5 has periodically flooded this summer due to heavy rains. Other soil plots typically have flowing water, but it recedes quickly. Plot 5 remains inundated for longer periods of time.",0000-0003-1934-4447,,20241118T173331Z,RELEASE-2025
76,32924d75-ea22-49dd-9edc-d62a38f9a4e0,D01,BART,BART,SOILPL100495,7/31/23,8/30/23,Y,actual,,BART.20230601.otherNaturalDisturbance,NEON.DOC.003282vD,otherNaturalDisturbance,naturalDisturbance-floodDamage,,,,,,,,,primary,"Soil plot 5 has periodically flooded this summer due to heavy rains. Other soil plots typically have flowing water, but it recedes quickly. Plot 5 remains inundated for longer periods of time.",0000-0003-1934-4447,,20241118T173248Z,RELEASE-2025
