,Unnamed: 0,uid,domainID,siteID,namedLocation,locationID,startDate,endDate,ongoingEvent,estimatedOrActualDate,dateRemarks,eventID,samplingProtocolVersion,eventType,methodTypeChoice,name,scientificName,otherScientificName,fireSeverity,biomassRemoval,minQuantity,maxQuantity,quantityUnit,reporterType,remarks,recordedBy,dataQF,publicationDate,release
2,2,f1f98a37-7231-4bc6-9ce8-f7fc500bbe84,D16,ABBY,ABBY,ABBY_007.basePlot.all,10/19/16,11/18/16,Y,,,ABBY.20161019.plantReduction,NEON.DOC.003282vA,plantReduction,removal-clearCut,,,,,Y,,,,primary,Plot harvested for timber. NLCD class change from Evergreen Forest to Grassland/Herbaceous. Dates of onset and cessation approximate.,bvierra@battelleecology.org,,20241118T045559Z,RELEASE-2025
4,4,94328cfa-f605-4aa2-a36c-d752c8a3d72e,D16,ABBY,ABBY,ABBY_007.basePlot.all,11/18/16,12/18/16,Y,actual,,ABBY.20161019.plantReduction,NEON.DOC.003282vA,plantReduction,removal-clearCut,,,,,Y,,,,primary,Plot harvested for timber. NLCD class change from Evergreen Forest to Grassland/Herbaceous. Dates of onset and cessation approximate.,bvierra@battelleecology.org,,20241118T172140Z,RELEASE-2025
7,7,907748ed-4a4f-4e51-b4b5-7bbfe13fb271,D16,ABBY,ABBY,ABBY_007.basePlot.all,12/18/16,1/17/17,Y,actual,,ABBY.20161019.plantReduction,NEON.DOC.003282vA,plantReduction,removal-clearCut,,,,,Y,,,,primary,Plot harvested for timber. NLCD class change from Evergreen Forest to Grassland/Herbaceous. Dates of onset and cessation approximate.,bvierra@battelleecology.org,,20241118T084316Z,RELEASE-2025
8,8,7c7417d1-a749-43c7-99f5-0139d48b922a,D16,ABBY,ABBY,ABBY_007.basePlot.all,1/17/17,2/16/17,Y,actual,,ABBY.20161019.plantReduction,NEON.DOC.003282vA,plantReduction,removal-clearCut,,,,,Y,,,,primary,Plot harvested for timber. NLCD class change from Evergreen Forest to Grassland/Herbaceous. Dates of onset and cessation approximate.,bvierra@battelleecology.org,,20241118T160551Z,RELEASE-2025
9,9,4ec0559b-9fbe-4339-baf1-77ad28e84b64,D16,ABBY,ABBY,ABBY_007.basePlot.all,2/16/17,2/21/17,N,,,ABBY.20161019.plantReduction,NEON.DOC.003282vA,plantReduction,removal-clearCut,,,,,Y,,,,primary,Plot harvested for timber. NLCD class change from Evergreen Forest to Grassland/Herbaceous. Dates of onset and cessation approximate.,bvierra@battelleecology.org,,20241118T160551Z,RELEASE-2025
10,10,c12af02e-9709-4c46-8c16-5ab1fc9d22f7,D16,ABBY,ABBY,ABBY_020.basePlot.all,3/1/17,3/31/17,Y,estimated,The latest start date is 2017-04-01.,ABBY.20170301.plantReduction,NEON.DOC.003282vA,plantReduction,removal-clearCut,,,,,U,,,,primary,Plot harvested for timber. NLCD class change from Evergreen Forest to Grassland/Herbaceous. Dates of onset and cessation approximate.,Jzemaitis@battelleecology.org,,20241118T050537Z,RELEASE-2025
11,11,3a5cce95-9c7e-4493-a46f-01b08e62df92,D16,ABBY,ABBY,ABBY_020.basePlot.all,3/31/17,4/30/17,Y,actual,,ABBY.20170301.plantReduction,NEON.DOC.003282vA,plantReduction,removal-clearCut,,,,,U,,,,primary,Plot harvested for timber. NLCD class change from Evergreen Forest to Grassland/Herbaceous. Dates of onset and cessation approximate.,Jzemaitis@battelleecology.org,,20241118T062418Z,RELEASE-2025
12,12,f925c622-e0b8-4392-96c6-2832bb7574a8,D16,ABBY,ABBY,ABBY_020.basePlot.all,4/30/17,5/30/17,Y,actual,,ABBY.20170301.plantReduction,NEON.DOC.003282vA,plantReduction,removal-clearCut,,,,,U,,,,primary,Plot harvested for timber. NLCD class change from Evergreen Forest to Grassland/Herbaceous. Dates of onset and cessation approximate.,Jzemaitis@battelleecology.org,,20241118T030502Z,RELEASE-2025
13,13,9d19ed6c-9d21-49c8-8f1e-491bc89d6dfc,D16,ABBY,ABBY,ABBY_020.basePlot.all,5/30/17,6/29/17,Y,actual,,ABBY.20170301.plantReduction,NEON.DOC.003282vA,plantReduction,removal-clearCut,,,,,U,,,,primary,Plot harvested for timber. NLCD class change from Evergreen Forest to Grassland/Herbaceous. Dates of onset and cessation approximate.,Jzemaitis@battelleecology.org,,20241118T034936Z,RELEASE-2025
14,14,18e31398-e5f4-44a5-be28-0482735e1804,D16,ABBY,ABBY,ABBY_020.basePlot.all,6/29/17,7/1/17,N,estimated,The earliest end date is 2017-06-01.,ABBY.20170301.plantReduction,NEON.DOC.003282vA,plantReduction,removal-clearCut,,,,,U,,,,primary,Plot harvested for timber. NLCD class change from Evergreen Forest to Grassland/Herbaceous. Dates of onset and cessation approximate.,Jzemaitis@battelleecology.org,,20241118T013759Z,RELEASE-2025
