,Unnamed: 0,uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,sampleID,sampleCode,cnSampleID,cnSampleCode,sampleType,acidTreatment,co2Trapped,d15N,organicd13C,nitrogenPercent,organicCPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF,publicationDate,release
917,917,aceb8755-1558-423c-a06a-67e2512ff364,2015-01-15,DSNY_041.basePlot.bgc,D03,DSNY,DSNY_041,tower,2014-01-22T17:00Z,2014-01-22T17:00Z,DSNY_041-M-33-4-20140122,,DSNY_041-M-33-4-20140122-CN,,soil,N,,2.6,-19.8,0.09,1.92,20.7,OK,OK,,,1.0,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,legacyData,20241118T035922Z,RELEASE-2025
918,918,bfe2bcde-7570-4de1-aede-8b5b86a24e09,2015-01-15,DSNY_041.basePlot.bgc,D03,DSNY,DSNY_041,tower,2014-02-27T17:00Z,2014-02-27T17:00Z,DSNY_041-M-23-30-20140227,,DSNY_041-M-23-30-20140227-CN,,soil,N,,2.8,-20.7,0.09,1.7,19.3,OK,OK,,,1.0,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,legacyData,20241118T025452Z,RELEASE-2025
919,919,bad1fa61-714d-4a73-9f18-3cc4c7c27e91,2015-01-15,DSNY_005.basePlot.bgc,D03,DSNY,DSNY_005,distributed,2014-05-15T16:00Z,2014-05-15T16:00Z,DSNY_005-M-4-9-20140515,,DSNY_005-M-4-9-20140515-CN,,soil,N,,2.1,-27.4,0.06,1.71,30.0,OK,OK,,,1.0,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,legacyData,20241118T091540Z,RELEASE-2025
920,920,d254b091-8a00-47b1-98b7-d0e9dc670d92,2015-01-15,DSNY_041.basePlot.bgc,D03,DSNY,DSNY_041,tower,2014-06-03T16:00Z,2014-06-03T16:00Z,DSNY_041-M-30-38-20140603,,DSNY_041-M-30-38-20140603-CN,,soil,N,,2.7,-20.1,0.08,1.65,20.2,OK,OK,,,1.0,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,legacyData,20241118T083333Z,RELEASE-2025
921,921,38817d98-32d4-4393-a9ea-7919b14b84e9,2015-01-15,DSNY_003.basePlot.bgc,D03,DSNY,DSNY_003,distributed,2014-08-13T16:00Z,2014-08-13T16:00Z,DSNY_003-M-3-26-20140813,,DSNY_003-M-3-26-20140813-CN,,soil,N,,3.3,-25.0,0.11,3.46,32.5,OK,OK,,,1.0,Replicate samples.,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,legacyData,20241118T005801Z,RELEASE-2025
922,922,252e8cf0-bce8-498d-a856-a351721147da,2015-01-15,DSNY_003.basePlot.bgc,D03,DSNY,DSNY_003,distributed,2014-08-13T16:00Z,2014-08-13T16:00Z,DSNY_003-M-1-7-20140813,,DSNY_003-M-1-7-20140813-CN,,soil,N,,3.5,-22.0,0.08,2.15,26.8,OK,OK,,,2.0,Replicate samples.,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,legacyData,20241118T005801Z,RELEASE-2025
923,923,143ac82d-8587-4c21-b52d-a084e6cc2c71,2015-01-15,DSNY_001.basePlot.bgc,D03,DSNY,DSNY_001,distributed,2014-08-13T16:00Z,2014-08-13T16:00Z,DSNY_001-M-1-6-20140813,,DSNY_001-M-1-6-20140813-CN,,soil,N,,2.7,-25.5,0.02,0.49,22.5,sample d15N out of qaqc tolerance,OK,,,1.0,d15N peak amplitudes too low for reliable results.,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,legacyData,20241118T005801Z,RELEASE-2025
924,924,2499999d-9cc2-4577-a336-e7cb78d35b24,2015-01-15,DSNY_003.basePlot.bgc,D03,DSNY,DSNY_003,distributed,2014-08-13T16:00Z,2014-08-13T16:00Z,DSNY_003-M-3-26-20140813,,DSNY_003-M-3-26-20140813-CN,,soil,N,,3.1,-25.1,0.11,3.65,32.7,OK,OK,,,2.0,Replicate samples.,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,legacyData,20241118T005801Z,RELEASE-2025
925,925,d3d57389-8ef6-4cce-87c0-9f4258465578,2015-01-15,DSNY_002.basePlot.bgc,D03,DSNY,DSNY_002,distributed,2014-08-13T16:00Z,2014-08-13T16:00Z,DSNY_002-M-27-36-20140813,,DSNY_002-M-27-36-20140813-CN,,soil,N,,2.7,-26.1,0.04,1.41,31.4,OK,OK,,,1.0,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,legacyData,20241118T005801Z,RELEASE-2025
926,926,1257c693-5e8f-4080-8051-1233844e7aed,2015-01-15,DSNY_002.basePlot.bgc,D03,DSNY,DSNY_002,distributed,2014-08-13T16:00Z,2014-08-13T16:00Z,DSNY_002-M-30-5-20140813,,DSNY_002-M-30-5-20140813-CN,,soil,N,,2.3,-26.6,0.11,2.87,26.6,OK,OK,,,1.0,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,legacyData,20241118T005801Z,RELEASE-2025
