,Unnamed: 0,uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,sampleID,sampleCode,cnSampleID,cnSampleCode,sampleType,acidTreatment,co2Trapped,d15N,organicd13C,nitrogenPercent,organicCPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF,publicationDate,release
414,414,ee0baf54-bf58-4604-9131-6472350e8313,2019-06-11,CLBJ_040.basePlot.bgc,D11,CLBJ,CLBJ_040,distributed,2019-04-15T15:07Z,2019-04-15T15:07Z,CLBJ_040-M-23.5-30-20190415,,CLBJ_040-M-23.5-30-20190415-CN,A00000052854,soil,N,N,3.2,,0.16,,,OK,OK,OK,OK,1.0,,University of Wyoming Stable Isotope Facility,009 EA-IRMS organic d15n & N%,Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,,20241118T172554Z,RELEASE-2025
415,415,6e039648-e813-4fd0-afc6-b110ddb5d984,2019-06-11,CLBJ_040.basePlot.bgc,D11,CLBJ,CLBJ_040,distributed,2019-04-15T15:07Z,2019-04-15T15:07Z,CLBJ_040-M-23.5-30-20190415,,CLBJ_040-M-23.5-30-20190415-CN,A00000052854,soil,Y,N,,-23.2,,0.21,,OK,OK,OK,OK,1.0,,University of Wyoming Stable Isotope Facility,008 EA-IRMS organic d13c & C%,Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,,20241118T172554Z,RELEASE-2025
416,416,b570e909-f341-4938-9a23-95a18ecca47d,2019-06-11,CLBJ_002.basePlot.bgc,D11,CLBJ,CLBJ_002,tower,2019-04-15T15:26Z,2019-04-15T15:26Z,CLBJ_002-M-18.5-2.5-20190415,,CLBJ_002-M-18.5-2.5-20190415-CN,A00000052479,soil,Y,N,,-25.6,,0.22,,OK,OK,OK,OK,1.0,,University of Wyoming Stable Isotope Facility,008 EA-IRMS organic d13c & C%,Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,,20241118T172554Z,RELEASE-2025
417,417,7e9c9485-63e0-4978-8eb9-af26a212dabc,2019-06-11,CLBJ_002.basePlot.bgc,D11,CLBJ,CLBJ_002,tower,2019-04-15T15:26Z,2019-04-15T15:26Z,CLBJ_002-M-18.5-2.5-20190415,,CLBJ_002-M-18.5-2.5-20190415-CN,A00000052479,soil,N,N,2.4,,0.08,,,OK,OK,OK,OK,1.0,,University of Wyoming Stable Isotope Facility,009 EA-IRMS organic d15n & N%,Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,,20241118T172554Z,RELEASE-2025
418,418,c02ddb86-bf46-4785-a53d-2d86d6b10191,2019-06-11,CLBJ_040.basePlot.bgc,D11,CLBJ,CLBJ_040,distributed,2019-04-15T15:37Z,2019-04-15T15:37Z,CLBJ_040-M-9-24-20190415,,CLBJ_040-M-9-24-20190415-CN,A00000052837,soil,N,N,3.0,,0.11,,,OK,OK,OK,OK,1.0,,University of Wyoming Stable Isotope Facility,009 EA-IRMS organic d15n & N%,Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,,20241118T172554Z,RELEASE-2025
419,419,59072a21-e066-4138-a748-db00bab58a4d,2019-06-11,CLBJ_040.basePlot.bgc,D11,CLBJ,CLBJ_040,distributed,2019-04-15T15:37Z,2019-04-15T15:37Z,CLBJ_040-M-9-24-20190415,,CLBJ_040-M-9-24-20190415-CN,A00000052837,soil,Y,N,,-26.5,,0.22,,OK,OK,OK,OK,1.0,,University of Wyoming Stable Isotope Facility,008 EA-IRMS organic d13c & C%,Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,,20241118T172554Z,RELEASE-2025
420,420,3560fc90-a448-4d5e-81c5-88716ff79423,2019-06-11,CLBJ_002.basePlot.bgc,D11,CLBJ,CLBJ_002,tower,2019-04-15T16:01Z,2019-04-15T16:01Z,CLBJ_002-M-38-13-20190415,,CLBJ_002-M-38-13-20190415-CN,A00000052462,soil,Y,N,,-24.9,,0.19,,OK,OK,OK,OK,1.0,,University of Wyoming Stable Isotope Facility,008 EA-IRMS organic d13c & C%,Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,,20241118T172554Z,RELEASE-2025
421,421,fd0edfcd-63e4-4ffb-b355-ba432ddcd680,2019-06-11,CLBJ_002.basePlot.bgc,D11,CLBJ,CLBJ_002,tower,2019-04-15T16:01Z,2019-04-15T16:01Z,CLBJ_002-M-38-13-20190415,,CLBJ_002-M-38-13-20190415-CN,A00000052462,soil,N,N,4.3,,0.08,,,OK,OK,OK,OK,1.0,,University of Wyoming Stable Isotope Facility,009 EA-IRMS organic d15n & N%,Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,,20241118T172554Z,RELEASE-2025
422,422,a297b8d9-7eae-49bb-8e3d-888b7dc742fe,2019-06-11,CLBJ_040.basePlot.bgc,D11,CLBJ,CLBJ_040,distributed,2019-04-15T16:04Z,2019-04-15T16:04Z,CLBJ_040-M-31.5-15.5-20190415,,CLBJ_040-M-31.5-15.5-20190415-CN,A00000052820,soil,N,N,5.8,,0.08,,,OK,OK,OK,OK,1.0,,University of Wyoming Stable Isotope Facility,009 EA-IRMS organic d15n & N%,Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,,20241118T172554Z,RELEASE-2025
423,423,8b0cc492-8866-43e3-b290-749084d47264,2019-06-11,CLBJ_040.basePlot.bgc,D11,CLBJ,CLBJ_040,distributed,2019-04-15T16:04Z,2019-04-15T16:04Z,CLBJ_040-M-31.5-15.5-20190415,,CLBJ_040-M-31.5-15.5-20190415-CN,A00000052820,soil,Y,N,,-24.4,,0.1,,OK,OK,OK,OK,1.0,,University of Wyoming Stable Isotope Facility,008 EA-IRMS organic d13c & C%,Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,,20241118T172554Z,RELEASE-2025
