,Unnamed: 0,uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,sampleID,sampleCode,cnSampleID,cnSampleCode,sampleType,acidTreatment,co2Trapped,d15N,organicd13C,nitrogenPercent,organicCPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF,publicationDate,release
350,350,76bc48cf-0579-46f6-b2c3-65b509a97f4d,2020-01-23,BONA_071.basePlot.bgc,D19,BONA,BONA_071,tower,2019-08-26T18:43Z,2019-08-26T18:43Z,BONA_071-O-6.5-19-20190826,A00000103276,BONA_071-O-6.5-19-20190826-CN,A00000103248,soil,N,N,-1.8,-28.0,1.03,50.6,49.2,OK,OK,OK,OK,1.0,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20241118T082745Z,RELEASE-2025
351,351,e7b3d593-300b-4e03-923d-5985e6c3c40b,2020-01-23,BONA_071.basePlot.bgc,D19,BONA,BONA_071,tower,2019-08-26T18:43Z,2019-08-26T18:43Z,BONA_071-M-6.5-19-20190826,A00000100811,BONA_071-M-6.5-19-20190826-CN,A00000103244,soil,N,N,4.4,-26.3,0.18,3.7,20.6,OK,OK,OK,OK,1.0,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,,20241118T082745Z,RELEASE-2025
352,352,3a5c2be8-f9c6-4cc0-b40a-f9c92ad58d01,2020-01-23,BONA_071.basePlot.bgc,D19,BONA,BONA_071,tower,2019-08-26T19:34Z,2019-08-26T19:34Z,BONA_071-M-37-8.5-20190826,A00000100810,BONA_071-M-37-8.5-20190826-CN,A00000103246,soil,N,N,4.1,-25.7,0.58,11.39,19.6,OK,OK,OK,OK,1.0,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,,20241118T082745Z,RELEASE-2025
353,353,fc6de80d-4d4a-4263-a286-ce1c7b3ebf4a,2020-01-23,BONA_071.basePlot.bgc,D19,BONA,BONA_071,tower,2019-08-26T19:34Z,2019-08-26T19:34Z,BONA_071-O-37-8.5-20190826,A00000103277,BONA_071-O-37-8.5-20190826-CN,A00000103247,soil,N,N,1.9,-27.4,1.4,43.07,30.7,OK,OK,OK,OK,1.0,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20241118T082745Z,RELEASE-2025
354,354,8639dfc0-512b-41cb-9480-d5d8d73f4376,2020-01-23,BONA_071.basePlot.bgc,D19,BONA,BONA_071,tower,2019-08-26T20:22Z,2019-08-26T20:22Z,BONA_071-M-39-31.5-20190826,A00000100809,BONA_071-M-39-31.5-20190826-CN,A00000103245,soil,N,N,3.9,-27.0,0.1,2.07,21.4,OK,OK,OK,OK,1.0,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,,20241118T082745Z,RELEASE-2025
355,355,5b20c419-cc9b-4e6a-8753-21222b61c83d,2020-01-23,BONA_071.basePlot.bgc,D19,BONA,BONA_071,tower,2019-08-26T20:22Z,2019-08-26T20:22Z,BONA_071-O-39-31.5-20190826,A00000103278,BONA_071-O-39-31.5-20190826-CN,A00000103249,soil,N,N,1.1,-27.9,0.76,47.09,61.8,OK,OK,OK,OK,1.0,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20241118T082745Z,RELEASE-2025
356,356,20b5157c-dd23-4474-89d8-157e5d364701,2020-01-30,BONA_070.basePlot.bgc,D19,BONA,BONA_070,tower,2019-08-26T22:20Z,2019-08-26T22:20Z,BONA_070-O-26-8.5-20190826,A00000103265,BONA_070-O-26-8.5-20190826-CN,A00000103255,soil,N,N,1.2,-28.7,1.25,50.48,40.5,OK,OK,OK,OK,1.0,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20241118T082745Z,RELEASE-2025
357,357,316c90bf-3a5a-443c-b292-6d90cc7bf503,2020-01-23,BONA_070.basePlot.bgc,D19,BONA,BONA_070,tower,2019-08-26T22:20Z,2019-08-26T22:20Z,BONA_070-M-26-8.5-20190826,A00000100808,BONA_070-M-26-8.5-20190826-CN,A00000103252,soil,N,N,4.1,-26.6,0.4,8.31,21.0,OK,OK,OK,OK,1.0,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,,20241118T082745Z,RELEASE-2025
358,358,647c1abf-ea07-42a8-977c-e2b3514c8892,2020-01-23,BONA_080.basePlot.bgc,D19,BONA,BONA_080,tower,2019-08-26T22:21Z,2019-08-26T22:21Z,BONA_080-O-5-9-20190826,A00000103279,BONA_080-O-5-9-20190826-CN,A00000103242,soil,N,N,2.9,-27.4,1.02,34.67,34.1,OK,OK,OK,OK,2.0,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20241118T082745Z,RELEASE-2025
359,359,e4486921-96e8-479b-b53f-4a77d37c0a3f,2020-01-23,BONA_080.basePlot.bgc,D19,BONA,BONA_080,tower,2019-08-26T22:21Z,2019-08-26T22:21Z,BONA_080-O-5-9-20190826,A00000103279,BONA_080-O-5-9-20190826-CN,A00000103242,soil,N,N,2.9,-27.0,0.96,35.89,37.3,OK,OK,OK,OK,1.0,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15n, d13c, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20241118T082745Z,RELEASE-2025
