,Unnamed: 0,uid,domainID,siteID,namedLocation,locationID,startDate,endDate,ongoingEvent,estimatedOrActualDate,dateRemarks,eventID,samplingProtocolVersion,eventType,methodTypeChoice,name,scientificName,otherScientificName,fireSeverity,biomassRemoval,minQuantity,maxQuantity,quantityUnit,reporterType,remarks,recordedBy,dataQF,publicationDate,release
675,675,82452a04-b431-4463-a2b9-4579739830b1,D03,DSNY,DSNY,DSNY_034.basePlot.all,5/8/18,5/8/18,N,actual,,DSNY.20180508.tillage,NEON.DOC.003282vA,tillage,tillage-conventional,,,,,,,,,primary,,biwaniec@battelleecology.org,,20241118T103123Z,RELEASE-2025
1061,1061,209743f3-52e5-4ef3-8f02-b34fd7345ad2,D03,JERC,JERC,JERC_014.basePlot.all,10/13/15,11/3/15,N,,,JERC.20151013.tillage,NEON.DOC.003282vA,tillage,tillage-conventional,,,,,,,,,secondary,Entire plot plowed. Entire plot was plowed. Plot was completely plowed.,jrossi@field-ops.org,,20241118T122044Z,RELEASE-2025
1064,1064,195c1941-88ec-42c3-82f8-9e9ee8a67a08,D03,JERC,JERC,JERC_012.basePlot.all,10/13/15,11/3/15,N,,,JERC.20151013.tillage,NEON.DOC.003282vA,tillage,tillage-conventional,,,,,,,,,secondary,Plot was completely plowed with no markers to be found.,jrossi@field-ops.org,,20241118T122044Z,RELEASE-2025
1107,1107,22658939-9cf6-43a3-b3cb-28301bd4b53c,D03,JERC,JERC,JERC_008.basePlot.all,4/17/18,4/17/18,N,actual,,JERC.20180417.tillage,NEON.DOC.003282vA,tillage,tillage-conventional,,,,,,25.0,,square m,primary,,kscott@battelleecology.org,,20241118T115509Z,RELEASE-2025
1147,1147,fd57f9ba-bbc0-4f7e-b6fd-1e9caf9118ab,D03,JERC,JERC,JERC_008.basePlot.all,4/22/19,4/22/19,N,actual,,JERC.20190422.tillage,NEON.DOC.003282vB,tillage,tillage-conservation,,,,,,,,,unknown,Prepping for prescribed burn. JERC_008 E beetle trap disturbed.,avazquez@battelleecology.org,,20241118T203909Z,RELEASE-2025
1148,1148,32bd9026-633b-4fd4-ad26-146703da59d6,D03,JERC,JERC,JERC_008.basePlot.all,4/23/19,4/23/19,N,actual,,JERC.20190423.tillage,NEON.DOC.003282vB,tillage,tillage-conventional,,,,,,20.0,,square m,secondary,Tilling occurred for planting wildlife food plot. on eastern side of plot. Tilling occurred in the 40 m x 40 m destructive sampling area. The east beetle trap was disturbed.,mkerstein@neoninc.org,,20241118T203909Z,RELEASE-2025
1149,1149,41f214b9-3faa-4eba-9719-ba01d0c1f403,D03,JERC,JERC,JERC_067.phenology.phe,4/3/19,4/24/19,N,,,JERC.20190403.tillage,NEON.DOC.003282vB,tillage,tillage-other,,,,,,,,,primary,A food plot was tilled through a portion of the phenology transect. No individual plants were affected.,sknowlden@battelleecology.org,,20241118T203909Z,RELEASE-2025
1226,1226,a47bbfc9-177f-4007-96d6-db682f4e3187,D03,JERC,JERC,JERC_004.basePlot.all,12/1/20,12/16/20,N,actual,,JERC.20201201.tillage,NEON.DOC.003282vC,tillage,tillage-conventional,,,,,,1.0,2.0,acre,primary,,0000-0001-8642-686X,,20241118T154655Z,RELEASE-2025
1230,1230,fe3a8a19-23e7-49ba-b3ba-db0bc9633061,D03,JERC,JERC,JERC_004.basePlot.all,12/14/20,12/31/20,N,actual,,JERC.20201214.tillage,NEON.DOC.003282vC,tillage,tillage-conventional,,,,,,40.0,80.0,square m,primary,,0000-0002-9814-2044,,20241118T154655Z,RELEASE-2025
1231,1231,cf03d51c-54e3-44a0-b4f6-b98079c3eb75,D03,JERC,JERC,JERC_004.tickPlot.tck,1/8/21,1/13/21,N,actual,,JERC.20210108.tillage,NEON.DOC.003282vC,tillage,tillage-conventional,,,,,,20.0,40.0,square m,primary,,0000-0002-9814-2044,,20241118T034010Z,RELEASE-2025
1233,1233,a7100dc2-08d9-4ef2-b9da-4eba2d003cbf,D03,JERC,JERC,JERC_018.basePlot.all,1/10/21,1/13/21,N,estimated,The earliest end date is 2021-01-13.,JERC.20210110.tillage,NEON.DOC.003282vC,tillage,tillage-conventional,,,,,,30.0,80.0,square m,primary,,0000-0002-9814-2044,,20241118T034010Z,RELEASE-2025
1238,1238,6b387e71-e21a-4d32-989c-f2487c95d5b9,D03,JERC,JERC,JERC_004.basePlot.all,3/8/21,3/15/21,N,estimated,Recent as no weeds had germinated and it had not yet been rained on,JERC.20210308.tillage,NEON.DOC.003282vD,tillage,tillage-conventional,,,,,,400.0,400.0,square m,primary,Appears to be preparation for planting,0000-0001-5871-8742,,20241118T194851Z,RELEASE-2025
1268,1268,4f3da712-0998-4f27-823a-af6f7b81cc03,D03,JERC,JERC,"JERC_004.basePlot.all, JERC_012.basePlot.all, JERC_014.basePlot.all, JERC_018.basePlot.all, JERC_020.basePlot.all",12/1/21,12/25/21,N,estimated,Tilling started sometime after 2021-12-01 and before 2021-12-25,JERC.20211201.tillage,NEON.DOC.003282vD,tillage,tillage-conventional,,,,,,1.0,4.0,acre,primary,,0000-0001-8642-686X,,20241118T032156Z,RELEASE-2025
1283,1283,a6419976-1006-40c5-8d2e-eb80cc96d6da,D03,JERC,JERC,JERC_014.basePlot.all,4/5/22,4/5/22,N,estimated,Within a week,JERC.20220405.tillage,NEON.DOC.003282vD,tillage,tillage-conventional,,,,,,100.0,400.0,square m,primary,About half of plot tilled and possibly planted.,0000-0002-9814-2044,,20241118T115644Z,RELEASE-2025
