,Unnamed: 0,uid,domainID,siteID,namedLocation,locationID,startDate,endDate,ongoingEvent,estimatedOrActualDate,dateRemarks,eventID,samplingProtocolVersion,eventType,methodTypeChoice,name,scientificName,otherScientificName,fireSeverity,biomassRemoval,minQuantity,maxQuantity,quantityUnit,reporterType,remarks,recordedBy,dataQF,publicationDate,release
36,36,1d1c36d1-207c-4f2e-b9a4-2771bc2d086a,D10,ARIK,ARIK,ARIK.AOS.S2,5/24/18,6/1/18,N,,,ARIK.20180524.wildlifeDisturbance,NEON.DOC.003282vA,wildlifeDisturbance,wildlifeDisturbance,,,,,,,,,unknown,Beaver dam is forming pool at S2,Bnance@Battelleecology.org,,20241118T111620Z,RELEASE-2025
38,38,b80da275-443b-4198-a460-ba5fb0826258,D10,ARIK,ARIK,ARIK.AOS.S2,6/5/19,6/5/19,N,actual,,ARIK.20190605.wildlifeDisturbance,NEON.DOC.003282vB,wildlifeDisturbance,wildlifeDisturbance,,,,,,,,,unknown,6/5/2019 Beaver dam built overnight. We left the stream at 6pm and it was not there. Upon arrival @ 9am it was here. 6/11/2019 The dam has grown since the above date and attached is another photo.,cowell@battelleecology.org,,20241118T043434Z,RELEASE-2025
39,39,9a4bf498-8611-42a4-8557-ae244eab9585,D10,ARIK,ARIK,ARIK,11/1/19,11/6/19,N,,,ARIK.20191101.wildlifeDisturbance,NEON.DOC.003282vB,wildlifeDisturbance,wildlifeDisturbance,,,Bos taurus,,,0.0,100.0,percent,primary,Cows were seen around sensor set 2 on 11/04/2019. Unsure of exact dates that the cows entered and exited the stream reach. A salt block and watering hole were set up near sensor set 2 around this time.,0000-0002-7071-0855,,20241118T014934Z,RELEASE-2025
272,272,d0e16898-5d4c-4bf3-a28c-0a15bc55e17b,D19,CARI,CARI,CARI,9/16/19,10/16/19,Y,actual,,CARI.20190916.wildlifeDisturbance,NEON.DOC.003282vB,wildlifeDisturbance,wildlifeDisturbance,,,otherMammal,,,0.0,100.0,m,primary,There is a beaver dam/wall approx 10 meters upstream of CARI bottom of reach. This has caused the stream width at this point to go from approx 2 m to 10 m. Dam has created many step pools and diverted a majority of the stream water into a new stream cha,jbuza@battelleecology.org,,20241118T115836Z,RELEASE-2025
273,273,64cce9b7-5c41-4e3a-ae3e-f958c01874f8,D19,CARI,CARI,CARI,10/16/19,11/15/19,Y,actual,,CARI.20190916.wildlifeDisturbance,NEON.DOC.003282vB,wildlifeDisturbance,wildlifeDisturbance,,,otherMammal,,,0.0,100.0,m,primary,There is a beaver dam/wall approx 10 meters upstream of CARI bottom of reach. This has caused the stream width at this point to go from approx 2 m to 10 m. Dam has created many step pools and diverted a majority of the stream water into a new stream cha,jbuza@battelleecology.org,,20241118T154850Z,RELEASE-2025
274,274,c75db859-514b-404d-a4d0-9e9c22eebfea,D19,CARI,CARI,CARI,11/15/19,12/15/19,Y,actual,,CARI.20190916.wildlifeDisturbance,NEON.DOC.003282vB,wildlifeDisturbance,wildlifeDisturbance,,,otherMammal,,,0.0,100.0,m,primary,There is a beaver dam/wall approx 10 meters upstream of CARI bottom of reach. This has caused the stream width at this point to go from approx 2 m to 10 m. Dam has created many step pools and diverted a majority of the stream water into a new stream cha,jbuza@battelleecology.org,,20241118T040349Z,RELEASE-2025
276,276,4f34750c-8cdd-4eaa-90df-7b7b88452e09,D19,CARI,CARI,CARI,12/15/19,1/14/20,Y,actual,,CARI.20190916.wildlifeDisturbance,NEON.DOC.003282vB,wildlifeDisturbance,wildlifeDisturbance,,,otherMammal,,,0.0,100.0,m,primary,There is a beaver dam/wall approx 10 meters upstream of CARI bottom of reach. This has caused the stream width at this point to go from approx 2 m to 10 m. Dam has created many step pools and diverted a majority of the stream water into a new stream cha,jbuza@battelleecology.org,,20241118T020659Z,RELEASE-2025
278,278,fc718868-c9bb-4204-a9c2-c799d374021c,D19,CARI,CARI,CARI,1/14/20,2/13/20,Y,actual,,CARI.20190916.wildlifeDisturbance,NEON.DOC.003282vB,wildlifeDisturbance,wildlifeDisturbance,,,otherMammal,,,0.0,100.0,m,primary,There is a beaver dam/wall approx 10 meters upstream of CARI bottom of reach. This has caused the stream width at this point to go from approx 2 m to 10 m. Dam has created many step pools and diverted a majority of the stream water into a new stream cha,jbuza@battelleecology.org,,20241118T142735Z,RELEASE-2025
280,280,1bba70d8-b53f-488f-9467-4ef11d2f9ff9,D19,CARI,CARI,CARI,2/13/20,3/14/20,Y,actual,,CARI.20190916.wildlifeDisturbance,NEON.DOC.003282vB,wildlifeDisturbance,wildlifeDisturbance,,,otherMammal,,,0.0,100.0,m,primary,There is a beaver dam/wall approx 10 meters upstream of CARI bottom of reach. This has caused the stream width at this point to go from approx 2 m to 10 m. Dam has created many step pools and diverted a majority of the stream water into a new stream cha,jbuza@battelleecology.org,,20241118T110940Z,RELEASE-2025
282,282,14fd40bb-9966-41a7-a654-66b78b357870,D19,CARI,CARI,CARI,3/14/20,4/13/20,Y,actual,,CARI.20190916.wildlifeDisturbance,NEON.DOC.003282vB,wildlifeDisturbance,wildlifeDisturbance,,,otherMammal,,,0.0,100.0,m,primary,There is a beaver dam/wall approx 10 meters upstream of CARI bottom of reach. This has caused the stream width at this point to go from approx 2 m to 10 m. Dam has created many step pools and diverted a majority of the stream water into a new stream cha,jbuza@battelleecology.org,,20241118T084334Z,RELEASE-2025
284,284,518d0ea9-51ef-420a-b353-f7ff72ea074a,D19,CARI,CARI,CARI,4/13/20,4/20/20,N,actual,,CARI.20190916.wildlifeDisturbance,NEON.DOC.003282vB,wildlifeDisturbance,wildlifeDisturbance,,,otherMammal,,,1.0,101.0,m,primary,There is a beaver dam/wall approx 10 meters upstream of CARI bottom of reach. This has caused the stream width at this point to go from approx 2 m to 10 m. Dam has created many step pools and diverted a majority of the stream water into a new stream cha,jbuza@battelleecology.org,,20241118T084334Z,RELEASE-2025
